ASpace_ID,Names,Authority_ID,Source,Name_Recon,uri
267,Deutsche Gesellschaft für Photographie,,library of congress name authority file,Deutsche Gesellschaft für Photographie,http://id.loc.gov/authorities/names/n84078523
269,Imperial War Museum (Great Britain),,library of congress name authority file,Imperial War Museum (Great Britain),http://id.loc.gov/authorities/names/n80044915
270,Landesbildstelle Berlin,,library of congress name authority file,Landesbildstelle Berlin,http://id.loc.gov/authorities/names/n81035971
271,Macmillan Publishing Company,,library of congress name authority file,Macmillan Publishing Company,http://id.loc.gov/authorities/names/n80079865
272,"Museum of Modern Art (New York, N.Y.)",,library of congress name authority file,"Museum of Modern Art (New York, N.Y.)",http://id.loc.gov/authorities/names/n79021281
273,"Simon and Schuster, inc.",,library of congress name authority file,"Simon and Schuster, inc.",http://id.loc.gov/authorities/names/n50069568
274,Staatsbibliothek zu Berlin—Preussischer Kulturbesitz,,library of congress name authority file,Staatsbibliothek zu Berlin—Preussischer Kulturbesitz,http://id.loc.gov/authorities/names/n93088802
275,Süddeutscher Verlag ,,library of congress name authority file,Süddeutscher Verlag ,http://id.loc.gov/authorities/names/no2001054909
276,Time-Life Books ,,library of congress name authority file,Time-Life Books ,http://id.loc.gov/authorities/names/n78095365
277,Washington National Records Center (U.S.),,library of congress name authority file,Washington National Records Center (U.S.),http://id.loc.gov/authorities/names/n87926496
278,"Galerie Paul Maenz (Cologne, Germany)",,library of congress name authority file,"Galerie Paul Maenz (Cologne, Germany)",http://id.loc.gov/authorities/names/n86119731
280,Endart (Group of artists) ,,library of congress name authority file,Endart (Group of artists) ,http://id.loc.gov/authorities/names/n97004505
281,Editions Sansot,,library of congress name authority file,Editions Sansot,http://id.loc.gov/authorities/names/no98073083
287,Liebig's Extract of Meat Company,,library of congress name authority file,Liebig's Extract of Meat Company,http://id.loc.gov/authorities/names/n87890560
291,Friends of Photography,,library of congress name authority file,Friends of Photography,http://id.loc.gov/authorities/names/n79084321
292,George Eastman House,,library of congress name authority file,George Eastman House,http://id.loc.gov/authorities/names/n79086438
293,Salzburg Seminar,,library of congress name authority file,Salzburg Seminar,http://id.loc.gov/authorities/names/n94056244
295,University of New Mexico,,library of congress name authority file,University of New Mexico,http://id.loc.gov/authorities/names/n79021418
296,American Oriental Society,,library of congress name authority file,American Oriental Society,http://id.loc.gov/authorities/names/n50064158
297,"Alfred A. Knopf, Inc.",,library of congress name authority file,"Alfred A. Knopf, Inc.",http://id.loc.gov/authorities/names/n50062227
298,Cornell University Press,,,Cornell University Press,http://id.loc.gov/authorities/names/no2013063402
299,Pantheon Books,,library of congress name authority file,Pantheon Books,http://id.loc.gov/authorities/names/n83139886
300,Sansoni (Firm),,library of congress name authority file,Sansoni (Firm),http://id.loc.gov/authorities/names/n81041917
301,University of California Press,,library of congress name authority file,University of California Press,http://id.loc.gov/authorities/names/n82118305
302,Tiffany and Company,,library of congress name authority file,Tiffany and Company,http://id.loc.gov/authorities/names/n80118439
303,Architectural Association (Great Britain),,library of congress name authority file,Architectural Association (Great Britain),http://id.loc.gov/authorities/names/n80089971
304,Architectural guides for travelers,,local,Architectural guides for travelers,http://id.loc.gov/authorities/names/n88540479
305,Courtauld Institute of Art,,library of congress name authority file,Courtauld Institute of Art,http://id.loc.gov/authorities/names/n50045627
306,"Gemäldegalerie (Dresden, Germany)",,library of congress name authority file,"Gemäldegalerie (Dresden, Germany)",http://id.loc.gov/authorities/names/n50065755
307,Great Britain. Royal Fine Art Commission,,library of congress name authority file,Great Britain. Royal Fine Art Commission,http://id.loc.gov/authorities/names/nr88006908
308,Jerusalem Committee,,library of congress name authority file,Jerusalem Committee,http://id.loc.gov/authorities/names/n84200633
309,Omega Workshops,,library of congress name authority file,Omega Workshops,http://id.loc.gov/authorities/names/n82131599
310,Penguin (Firm),,library of congress name authority file,Penguin (Firm),http://id.loc.gov/authorities/names/n50010791
311,University of Cambridge,,library of congress name authority file,University of Cambridge,http://id.loc.gov/authorities/names/n79018862
312,University of London,,library of congress name authority file,University of London,http://id.loc.gov/authorities/names/n79074298
313,University of Oxford,,library of congress name authority file,University of Oxford,http://id.loc.gov/authorities/names/n79095521
315,Peggy Guggenheim Collection,,library of congress name authority file,Peggy Guggenheim Collection,http://id.loc.gov/authorities/names/n83192968
316,C.H. Boehringer Sohn,,library of congress name authority file,C.H. Boehringer Sohn,http://id.loc.gov/authorities/names/n82022680
317,Deutsche Spiegelglas A.G.,,library of congress name authority file,Deutsche Spiegelglas A.G.,http://id.loc.gov/authorities/names/n82166700
319,Gesellschaft Deutscher Lichtbildner,,library of congress name authority file,Gesellschaft Deutscher Lichtbildner,http://id.loc.gov/authorities/names/n82255670
321,Museum Folkwang Essen,,library of congress name authority file,Museum Folkwang Essen,http://id.loc.gov/authorities/names/n50065358
322,Verlag Herder,,library of congress name authority file,Verlag Herder,http://id.loc.gov/authorities/names/n80152854
324,Deutsche Buch-Gemeinschaft,,library of congress name authority file,Deutsche Buch-Gemeinschaft,http://id.loc.gov/authorities/names/n95108793
325,Deutscher Werkbund Berlin,,library of congress name authority file,Deutscher Werkbund Berlin,http://id.loc.gov/authorities/names/n84238626
328,"Fagus-Werk (Alfeld, Lower Saxony, Germany)",,library of congress name authority file,"Fagus-Werk (Alfeld, Lower Saxony, Germany)",http://id.loc.gov/authorities/names/n98112857
329,Focal Press,,,Focal Press,http://id.loc.gov/authorities/names/no2011137851
331,"Krupp Stahl AG. Werk (Rheinhausen, Duisburg, Germany)",,library of congress name authority file,"Krupp Stahl AG. Werk (Rheinhausen, Duisburg, Germany)",http://id.loc.gov/authorities/names/n90663568
335,Photographische Gesellschaft in Wien,,library of congress name authority file,Photographische Gesellschaft in Wien,http://id.loc.gov/authorities/names/nr91026294
338,Staatliche Kunstakademie Düsseldorf,,library of congress name authority file,Staatliche Kunstakademie Düsseldorf,http://id.loc.gov/authorities/names/n82060134
339,Sydslesvigs danske kunstforening,,library of congress name authority file,Sydslesvigs danske kunstforening,http://id.loc.gov/authorities/names/n82134696
345,United States. Works Progress Administration,,library of congress name authority file,United States. Works Progress Administration,http://id.loc.gov/authorities/names/n81081809
346,United States. Office of War Information ,,library of congress name authority file,United States. Office of War Information ,http://id.loc.gov/authorities/names/n50062845
347,New York School of Art,,library of congress name authority file,New York School of Art,http://id.loc.gov/authorities/names/n00020504
352,"Schaeffer Galleries (New York, N.Y.)",,library of congress name authority file,"Schaeffer Galleries (New York, N.Y.)",http://id.loc.gov/authorities/names/nr2005014697
354,Teikoku Hoteru,,library of congress name authority file,Teikoku Hoteru,http://id.loc.gov/authorities/names/n82024268
356,Taliesin Fellowship,,library of congress name authority file,Taliesin Fellowship,http://id.loc.gov/authorities/names/n91031946
357,"Unitarian Universalist Church in Oak Park (Oak Park, Ill.) ",,library of congress name authority file,"Unitarian Universalist Church in Oak Park (Oak Park, Ill.) ",http://id.loc.gov/authorities/names/no2010137511
359,"Annunciation Greek Orthodox Church (Milwaukee, Wis.)",,library of congress name authority file,"Annunciation Greek Orthodox Church (Milwaukee, Wis.)",http://id.loc.gov/authorities/names/n85373363
361,"Wayfarers Chapel (Rancho Palos Verdes, Calif.) ",,library of congress name authority file,"Wayfarers Chapel (Rancho Palos Verdes, Calif.) ",http://id.loc.gov/authorities/names/n96056944
362,Frank Lloyd Wright Foundation,,library of congress name authority file,Frank Lloyd Wright Foundation,http://id.loc.gov/authorities/names/n50069788
363,"Sears, Roebuck and Company",,library of congress name authority file,"Sears, Roebuck and Company",http://id.loc.gov/authorities/names/n79129205
366,"Case Study House No. 9 (Los Angeles, Calif.)",,library of congress name authority file,"Case Study House No. 9 (Los Angeles, Calif.)",http://id.loc.gov/authorities/names/n98030235
392,Williams and Williams,,local,Williams and Williams,http://id.loc.gov/authorities/names/no2008160670
398,"Société des artistes indépendants (Paris, France)",,library of congress name authority file,"Société des artistes indépendants (Paris, France)",http://id.loc.gov/authorities/names/n81028938
401,Internationale situationniste,,library of congress name authority file,Internationale situationniste,http://id.loc.gov/authorities/names/n82163080
402,Soviet Union—Red Army,,ingest,Soviet Union—Red Army,http://id.loc.gov/authorities/names/n80126258
406,Committee to Defend America by Aiding the Allies,,library of congress name authority file,Committee to Defend America by Aiding the Allies,http://id.loc.gov/authorities/names/n93023784
408,Frick Collection,,library of congress name authority file,Frick Collection,http://id.loc.gov/authorities/names/n80044956
409,Barnes Foundation,,library of congress name authority file,Barnes Foundation,http://id.loc.gov/authorities/names/n81124896
410,M.H. De Young Memorial Museum ,,library of congress name authority file,M.H. De Young Memorial Museum ,http://id.loc.gov/authorities/names/n80051192
413,"Barbizon House (London, England)",,library of congress name authority file,"Barbizon House (London, England)",http://id.loc.gov/authorities/names/no2001066922
414,"French Gallery (London, England)",,library of congress name authority file,"French Gallery (London, England)",http://id.loc.gov/authorities/names/n83013587
415,Goupil Gallery,,library of congress name authority file,Goupil Gallery,http://id.loc.gov/authorities/names/n79024603
420,Cine Club del Uruguay,,library of congress name authority file,Cine Club del Uruguay,http://id.loc.gov/authorities/names/nr96006970
421,John Simon Guggenheim Memorial Foundation,,library of congress name authority file,John Simon Guggenheim Memorial Foundation,http://id.loc.gov/authorities/names/n50082525
422,Taller Torres-García,,library of congress name authority file,Taller Torres-García,http://id.loc.gov/authorities/names/n91052279
