ASpace_ID,Names,Authority_ID,Source,Name_Recon,uri,New_ID
658,Mouseio Akropolēs,,library of congress name authority file,Mouseio Akropolēs,http://id.loc.gov/authorities/names/n88275239, 1637
663,Kunsthandel P. de Boer,,library of congress name authority file,Kunsthandel P. de Boer,http://id.loc.gov/authorities/names/n88644139, 1638
666,American School of Classical Studies at Athens,,library of congress name authority file,American School of Classical Studies at Athens,http://id.loc.gov/authorities/names/n79058461, 1639
667,Bildarchiv Foto Marburg,,library of congress name authority file,Bildarchiv Foto Marburg,http://id.loc.gov/authorities/names/n86830763, 1640
669,"University of California, Los Angeles. Department of Classics",,library of congress name authority file,"University of California, Los Angeles. Department of Classics",http://id.loc.gov/authorities/names/n89602258, 1641
670,Accademia di San Luca,,library of congress name authority file,Accademia di San Luca,http://id.loc.gov/authorities/names/n93105433, 1642
671,École nationale supérieure des beaux-arts (France),,library of congress name authority file,École nationale supérieure des beaux-arts (France),http://id.loc.gov/authorities/names/n79018876, 1643
672,Victoria and Albert Museum,,library of congress name authority file,Victoria and Albert Museum,http://id.loc.gov/authorities/names/n79066252, 1644
673,Gosudarstvennyĭ Ėrmitazh (Russia),,library of congress name authority file,Gosudarstvennyĭ Ėrmitazh (Russia),http://id.loc.gov/authorities/names/n79100241, 1645
676,Congress of Racial Equality,,library of congress name authority file,Congress of Racial Equality,http://id.loc.gov/authorities/names/n80080481, 1646
677,Black Panther Party,,library of congress name authority file,Black Panther Party,http://id.loc.gov/authorities/names/n80095585, 1647
682,Armory Center for the Arts,,library of congress name authority file,Armory Center for the Arts,http://id.loc.gov/authorities/names/no95036938, 1648
683,Kölner Kunstmarkt,,,Kölner Kunstmarkt,http://id.loc.gov/authorities/names/no2012045218, 1649
684,Verein progressiver deutscher Kunsthändler,,,Verein progressiver deutscher Kunsthändler,http://id.loc.gov/authorities/names/no2012045209, 1650
685,Industrias Kaiser Argentina,,library of congress name authority file,Industrias Kaiser Argentina,http://id.loc.gov/authorities/names/no2003068189, 1651
686,Wadsworth Atheneum,,library of congress name authority file,Wadsworth Atheneum,http://id.loc.gov/authorities/names/n82118545, 1652
689,Bienal Americana de Arte,,,Bienal Americana de Arte,http://id.loc.gov/authorities/names/no2006006589, 1653
694,"Biennale di Venezia (Venice, Italy)",,library of congress name authority file,"Biennale di Venezia (Venice, Italy)",http://id.loc.gov/authorities/names/n80010259, 1654
