ASpace_ID,Names,Authority_ID,Source,Name_Recon,uri
1525,"Vey, Horst",,library of congress name authority file,"Vey, Horst",http://id.loc.gov/authorities/names/n91061341
1526,"Vlieghe, Hans",,library of congress name authority file,"Vlieghe, Hans",http://id.loc.gov/authorities/names/nr88004392
1527,"Voet, Léon",,library of congress name authority file,"Voet, Léon",http://id.loc.gov/authorities/names/n78093487
1528,"Volk, Mary Crawford",,library of congress name authority file,"Volk, Mary Crawford",http://id.loc.gov/authorities/names/n91123358
1531,"Warnke, Martin",,library of congress name authority file,"Warnke, Martin",http://id.loc.gov/authorities/names/n79072741
1532,"Weber, Gregor J. M.",,library of congress name authority file,"Weber, Gregor J. M.",http://id.loc.gov/authorities/names/n90720227
1534,"Welu, James A.",,library of congress name authority file,"Welu, James A.",http://id.loc.gov/authorities/names/n79123367
1535,"White, Christopher",,library of congress name authority file,"White, Christopher",http://id.loc.gov/authorities/names/n89659494
1536,"Wilkin, Karen",,library of congress name authority file,"Wilkin, Karen",http://id.loc.gov/authorities/names/nr2001016173
1539,"Wittkower, Rudolf",,library of congress name authority file,"Wittkower, Rudolf",http://id.loc.gov/authorities/names/n50014455
1540,"Wohl, Alice ",,library of congress name authority file,"Wohl, Alice ",http://id.loc.gov/authorities/names/n82275402
1541,"Wood, Jeremy",,library of congress name authority file,"Wood, Jeremy",http://id.loc.gov/authorities/names/n92120781
1543,"Wolf, Robert Erich",,library of congress name authority file,"Wolf, Robert Erich",http://id.loc.gov/authorities/names/n88663827
1544,"Wright, Virginia",,,"Wright, Virginia",http://id.loc.gov/authorities/names/n2014015156
1546,"Wuttke, Dieter",,library of congress name authority file,"Wuttke, Dieter",http://id.loc.gov/authorities/names/n82210691
1622,"Adler, Jeremy D.",,library of congress name authority file,"Adler, Jeremy D.",http://id.loc.gov/authorities/names/n79107532
1623,"Andersen, Eric",,library of congress name authority file,"Andersen, Eric",http://id.loc.gov/authorities/names/n91115173
1625,"Benjamin, Jerry",,library of congress name authority file,"Benjamin, Jerry",http://id.loc.gov/authorities/names/no00074705
1626,"Boyd, Don",,library of congress name authority file,"Boyd, Don",http://id.loc.gov/authorities/names/n81073331
1628,"Cook, Geoffrey",,library of congress name authority file,"Cook, Geoffrey",http://id.loc.gov/authorities/names/n2005022851
1629,"Cooper, Michael",,library of congress name authority file,"Cooper, Michael",http://id.loc.gov/authorities/names/n88278892
1631,"Ernst, Ulrich",,library of congress name authority file,"Ernst, Ulrich",http://id.loc.gov/authorities/names/n80101671
1635,"Hatherly, Ana",,library of congress name authority file,"Hatherly, Ana",http://id.loc.gov/authorities/names/n82122608
1637,"Kempton, Karl",,library of congress name authority file,"Kempton, Karl",http://id.loc.gov/authorities/names/n2015064947
1640,"Kostelanetz, Richard",,library of congress name authority file,"Kostelanetz, Richard",http://id.loc.gov/authorities/names/n79071160
1641,"Mahlow, Dietrich",,library of congress name authority file,"Mahlow, Dietrich",http://id.loc.gov/authorities/names/n83031621
1642,"McCaffery, Steve",,library of congress name authority file,"McCaffery, Steve",http://id.loc.gov/authorities/names/n50009224
1644,"Moran, Robert",,library of congress name authority file,"Moran, Robert",http://id.loc.gov/authorities/names/n81030049
1645,"Morris, Michael",,library of congress name authority file,"Morris, Michael",http://id.loc.gov/authorities/names/no89019186
1646,"Morrow, Charlie",,library of congress name authority file,"Morrow, Charlie",http://id.loc.gov/authorities/names/n82158856
1648,"Pedersen, Knud",,library of congress name authority file,"Pedersen, Knud",http://id.loc.gov/authorities/names/no2009187873
1649,"Peters, Robert",,library of congress name authority file,"Peters, Robert",http://id.loc.gov/authorities/names/n80030418
1650,"Phillips, Michael Joseph",,,"Phillips, Michael Joseph",http://id.loc.gov/authorities/names/n80082432
1651,"Polkinhorn, Harry",,library of congress name authority file,"Polkinhorn, Harry",http://id.loc.gov/authorities/names/n85236956
1654,"Rypson, Piotr",,library of congress name authority file,"Rypson, Piotr",http://id.loc.gov/authorities/names/n88273098
1656,"Tóth, Gábor",,library of congress name authority file,"Tóth, Gábor",http://id.loc.gov/authorities/names/n80058497
1660,"Williams, Eugene",,library of congress name authority file,"Williams, Eugene",http://id.loc.gov/authorities/names/n87837622
1661,"Hildebrandt, Hans",,library of congress name authority file,"Hildebrandt, Hans",http://id.loc.gov/authorities/names/n83213186
1666,"Grimson, S. B. (Samuel B.)",,library of congress name authority file,"Grimson, S. B. (Samuel B.)",http://id.loc.gov/authorities/names/n86105774
1671,"Pavlova, Anna",,library of congress name authority file,"Pavlova, Anna",http://id.loc.gov/authorities/names/no94018566
1673,"Field, Stanley",,library of congress name authority file,"Field, Stanley",http://id.loc.gov/authorities/names/n50023357
1677,"Horn, Andrew",,,"Horn, Andrew",http://id.loc.gov/authorities/names/n85093051
1679,"Buchholz, Erich",,library of congress name authority file,"Buchholz, Erich",http://id.loc.gov/authorities/names/n82106684
1681,"Hiller, Kurt",,library of congress name authority file,"Hiller, Kurt",http://id.loc.gov/authorities/names/n86845909
1682,"Hilty, Hans Rudolf",,library of congress name authority file,"Hilty, Hans Rudolf",http://id.loc.gov/authorities/names/n82018352
1692,"Ackerman, James S.",,library of congress name authority file,"Ackerman, James S.",http://id.loc.gov/authorities/names/n50036883
1693,"Argan, Giulio Carlo",,library of congress name authority file,"Argan, Giulio Carlo",http://id.loc.gov/authorities/names/n79034934
1694,"Barocchi, Paola",,library of congress name authority file,"Barocchi, Paola",http://id.loc.gov/authorities/names/n82256449
1695,"Baxandall, Michael",,library of congress name authority file,"Baxandall, Michael",http://id.loc.gov/authorities/names/n79117251
1696,"Boardman, John",,library of congress name authority file,"Boardman, John",http://id.loc.gov/authorities/names/n84160596
1702,"Hamilton, George Heard",,library of congress name authority file,"Hamilton, George Heard",http://id.loc.gov/authorities/names/n50018500
1703,"Harrison, Evelyn B. (Evelyn Byrd)",,library of congress name authority file,"Harrison, Evelyn B. (Evelyn Byrd)",http://id.loc.gov/authorities/names/n85352637
1706,"Herrmann, Wolfgang",,library of congress name authority file,"Herrmann, Wolfgang",http://id.loc.gov/authorities/names/n80075367
1708,"Hoffmann, Herbert",,library of congress name authority file,"Hoffmann, Herbert",http://id.loc.gov/authorities/names/n86009940
1712,"Lee, Sherman E.",,library of congress name authority file,"Lee, Sherman E.",http://id.loc.gov/authorities/names/n50038902
1714,"Lewis, Samella S.",,library of congress name authority file,"Lewis, Samella S.",http://id.loc.gov/authorities/names/n84229534
1715,"Nochlin , Linda",,library of congress name authority file,"Nochlin , Linda",http://id.loc.gov/authorities/names/n87929513
1716,"Pollock, Griselda",,library of congress name authority file,"Pollock, Griselda",http://id.loc.gov/authorities/names/n77004300
1718,"Renfrew, Colin",,library of congress name authority file,"Renfrew, Colin",http://id.loc.gov/authorities/names/no2010171037
1720,"Sekler, Eduard F. (Eduard Franz) ",,library of congress name authority file,"Sekler, Eduard F. (Eduard Franz) ",http://id.loc.gov/authorities/names/n83031728
1722,"Smyth, Craig Hugh",,library of congress name authority file,"Smyth, Craig Hugh",http://id.loc.gov/authorities/names/n86002754
1723,"Tafuri, Manfredo",,library of congress name authority file,"Tafuri, Manfredo",http://id.loc.gov/authorities/names/n80013526
1724,"Thompson, Homer A.",,library of congress name authority file,"Thompson, Homer A.",http://id.loc.gov/authorities/names/n80138745
1728,"Wittkower, Margot",,library of congress name authority file,"Wittkower, Margot",http://id.loc.gov/authorities/names/n81149989
1730,"Cándida Smith, Richard",,library of congress name authority file,"Cándida Smith, Richard",http://id.loc.gov/authorities/names/n94106121
1742,"Carducci, Alessandro",,library of congress name authority file,"Carducci, Alessandro",http://id.loc.gov/authorities/names/n97874249
1748,"Schenk, Peter",,library of congress name authority file,"Schenk, Peter",http://id.loc.gov/authorities/names/n78015558
1762,"Reiniger, Lotte",,library of congress name authority file,"Reiniger, Lotte",http://id.loc.gov/authorities/names/n80051717
1779,"Baudisch, Gudrun",,library of congress name authority file,"Baudisch, Gudrun",http://id.loc.gov/authorities/names/n82029240
1793,"Snischek, Max",,,"Snischek, Max",http://id.loc.gov/authorities/names/no2019000199
1849,"Bloch, Albert",,library of congress name authority file,"Bloch, Albert",http://id.loc.gov/authorities/names/no97003532
1851,"Braga, Dominique",,library of congress name authority file,"Braga, Dominique",http://id.loc.gov/authorities/names/no2004064036
1852,"Braun, Albert",,library of congress name authority file,"Braun, Albert",http://id.loc.gov/authorities/names/n84154047
1859,"Driesch, Hans",,library of congress name authority file,"Driesch, Hans",http://id.loc.gov/authorities/names/n85814184
1862,"Fischer, Edward",,library of congress name authority file,"Fischer, Edward",http://id.loc.gov/authorities/names/n50005280
1864,"Genin, Robert",,library of congress name authority file,"Genin, Robert",http://id.loc.gov/authorities/names/n82247970
1892,"Probst, Rudolf",,library of congress name authority file,"Probst, Rudolf",http://id.loc.gov/authorities/names/no94017285
1894,"Ridder, André de",,,"Ridder, André de",http://id.loc.gov/authorities/names/no2011181439
1898,"Scheyer, Galka E.",,library of congress name authority file,"Scheyer, Galka E.",http://id.loc.gov/authorities/names/nr98017404
1899,"Schmid, Wilhelm",,library of congress name authority file,"Schmid, Wilhelm",http://id.loc.gov/authorities/names/n85823351
1921,"Hahn, Livingstone",,library of congress name authority file,"Hahn, Livingstone",http://id.loc.gov/authorities/names/n87139747
1954,"Latham, A. J. H.",,library of congress name authority file,"Latham, A. J. H.",http://id.loc.gov/authorities/names/n81037045
1956,"Poons, Larry",,library of congress name authority file,"Poons, Larry",http://id.loc.gov/authorities/names/n82013450
1958,"Smith, Richard",,library of congress name authority file,"Smith, Richard",http://id.loc.gov/authorities/names/n84203098
1960,"Keller, Harald",,library of congress name authority file,"Keller, Harald",http://id.loc.gov/authorities/names/n87848182
1961,"Frommel, Christoph Luitpold",,library of congress name authority file,"Frommel, Christoph Luitpold",http://id.loc.gov/authorities/names/n82239404
1965,"Schlumberger, Daniel",,library of congress name authority file,"Schlumberger, Daniel",http://id.loc.gov/authorities/names/n84067771
1968,"Belting, Hans",,library of congress name authority file,"Belting, Hans",http://id.loc.gov/authorities/names/n81127188
1969,"Frolow, A. (Anatole) ",,library of congress name authority file,"Frolow, A. (Anatole) ",http://id.loc.gov/authorities/names/no97018575
1970,"Grierson, Philip",,library of congress name authority file,"Grierson, Philip",http://id.loc.gov/authorities/names/n50031048
1973,"Wixom, William D.",,library of congress name authority file,"Wixom, William D.",http://id.loc.gov/authorities/names/nr95021028
1974,"Kleinschmidt, Hans J.",,library of congress name authority file,"Kleinschmidt, Hans J.",http://id.loc.gov/authorities/names/n90707752
1983,"Wagner, Richard",,library of congress name authority file,"Wagner, Richard",http://id.loc.gov/authorities/names/n78055968
2006,"Mayer, Otto",,library of congress name authority file,"Mayer, Otto",http://id.loc.gov/authorities/names/n84092815
