INFO 2019-08-22 15:25:36,099   Name: Opbouw (Group of architects), locID: nr98003302, {'status': 'Created', 'id': 1397, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1397', 'warnings': []}
INFO 2019-08-22 15:25:44,362   Name: Mayor Gallery, locID: n82109882, {'status': 'Created', 'id': 1398, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1398', 'warnings': []}
INFO 2019-08-22 15:25:48,248   Name: Museo del Prado, locID: n79064568, {'status': 'Created', 'id': 1399, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1399', 'warnings': []}
INFO 2019-08-22 15:25:52,220   Name: Tate Gallery, locID: n80046785, {'status': 'Created', 'id': 1400, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1400', 'warnings': []}
INFO 2019-08-22 15:25:56,186   Name: William and Noma Copley Foundation, locID: no97002407, {'status': 'Created', 'id': 1401, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1401', 'warnings': []}
INFO 2019-08-22 15:26:00,192   Name: Galerie Georges Petit, locID: n81060022, {'status': 'Created', 'id': 1402, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1402', 'warnings': []}
INFO 2019-08-22 15:26:01,297   Name: Society of Dilettanti (London, England), locID: no2003029573, {'status': 'Created', 'id': 1403, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1403', 'warnings': []}
INFO 2019-08-22 15:26:02,363   Name: Durlacher Bros., locID: nr98039061, {'status': 'Created', 'id': 1404, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1404', 'warnings': []}
INFO 2019-08-22 15:26:03,232   Name: Duveen Brothers, locID: nr97027536, {'status': 'Created', 'id': 1405, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1405', 'warnings': []}
INFO 2019-08-22 15:26:04,213   Name: F. Kleinberger Galleries (New York, N.Y.) , locID: n2006165845, {'status': 'Created', 'id': 1406, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1406', 'warnings': []}
INFO 2019-08-22 15:26:08,290   Name: Wildenstein and Company (New York, N.Y.), locID: n50052707, {'status': 'Created', 'id': 1407, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1407', 'warnings': []}
INFO 2019-08-22 15:26:12,147   Name: Thos. Agnew and Sons Ltd., locID: n78013823, {'status': 'Created', 'id': 1408, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1408', 'warnings': []}
INFO 2019-08-22 15:26:16,423   Name: Deutscher Kunstverlag, locID: n81123410, {'status': 'Created', 'id': 1409, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1409', 'warnings': []}
INFO 2019-08-22 15:26:20,272   Name: Deutscher Werkbund, locID: n50065876, {'status': 'Created', 'id': 1410, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1410', 'warnings': []}
INFO 2019-08-22 15:26:24,175   Name: Nicholas Roerich Museum (New York, N.Y.), locID: n87143306, {'status': 'Created', 'id': 1411, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1411', 'warnings': []}
INFO 2019-08-22 15:26:28,210   Name: Eisenman Architects, locID: n91123614, {'status': 'Created', 'id': 1412, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1412', 'warnings': []}
INFO 2019-08-22 15:26:32,413   Name: British Museum, locID: n79107735, {'status': 'Created', 'id': 1413, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1413', 'warnings': []}
INFO 2019-08-22 15:26:36,333   Name: Ayasofya Müzesi, locID: n79058868, {'status': 'Created', 'id': 1414, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1414', 'warnings': []}
INFO 2019-08-22 15:26:42,195   Name: Harvard University. Graduate School of Design, locID: n79107884, {'status': 'Created', 'id': 1415, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1415', 'warnings': []}
INFO 2019-08-22 15:26:48,029   Name: Washington Cathedral, locID: n79058423, {'status': 'Created', 'id': 1416, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1416', 'warnings': []}
INFO 2019-08-22 15:26:50,061   Name: Banyan Press, locID: n88045032, {'status': 'Created', 'id': 1417, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1417', 'warnings': []}
INFO 2019-08-22 15:26:54,056   Name: Bennington College, locID: n80103752, {'status': 'Created', 'id': 1418, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1418', 'warnings': []}
INFO 2019-08-22 15:27:01,855   Name: Betty Parsons Gallery, locID: n88611780, {'status': 'Created', 'id': 1419, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1419', 'warnings': []}
INFO 2019-08-22 15:27:02,536   Name: Gotham Book Mart, locID: n50071766, {'status': 'Created', 'id': 1420, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1420', 'warnings': []}
INFO 2019-08-22 15:27:03,613   Name: Grolier Club, locID: n80085246, {'status': 'Created', 'id': 1421, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1421', 'warnings': []}
INFO 2019-08-22 15:27:20,120   Name: Jargon Society, locID: n83190457, {'status': 'Created', 'id': 1422, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1422', 'warnings': []}
INFO 2019-08-22 15:27:20,679   Name: New York Public Library, locID: n79033065, {'status': 'Created', 'id': 1423, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1423', 'warnings': []}
INFO 2019-08-22 15:27:21,172   Name: Elmer Holmes Bobst Library, locID: n86863821, {'status': 'Created', 'id': 1424, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1424', 'warnings': []}
INFO 2019-08-22 15:27:24,262   Name: Stinehour Press, locID: n85349186, {'status': 'Created', 'id': 1425, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1425', 'warnings': []}
INFO 2019-08-22 15:27:28,257   Name: Living Theatre (New York, N.Y.), locID: n50051175, {'status': 'Created', 'id': 1426, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1426', 'warnings': []}
INFO 2019-08-22 15:27:32,541   Name: Edizioni futuriste di Poesia, locID: no2009206122, {'status': 'Created', 'id': 1427, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1427', 'warnings': []}
INFO 2019-08-22 15:27:36,303   Name: Abdullah frères, locID: no98113334, {'status': 'Created', 'id': 1428, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1428', 'warnings': []}
INFO 2019-08-22 15:27:38,293   Name: Apollon (Firm), locID: no2010101417, {'status': 'Created', 'id': 1429, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1429', 'warnings': []}
INFO 2019-08-22 15:27:40,273   Name: Mandrágora (Group), locID: n95097127, {'status': 'Created', 'id': 1430, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1430', 'warnings': []}
INFO 2019-08-22 15:27:40,681   Name: Phaidon Press, locID: n88072135, {'status': 'Created', 'id': 1431, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1431', 'warnings': []}
INFO 2019-08-22 15:27:42,504   Name: Barnard College, locID: n79065105, {'status': 'Created', 'id': 1432, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1432', 'warnings': []}
INFO 2019-08-22 15:27:42,915   Name: Carnegie Museum of Art, locID: n88065070, {'status': 'Created', 'id': 1433, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1433', 'warnings': []}
INFO 2019-08-22 15:27:43,349   Name: Columbia College (New York, N.Y.), locID: n84136055, {'status': 'Created', 'id': 1434, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1434', 'warnings': []}
INFO 2019-08-22 15:27:43,783   Name: Dorotheum (Firm), locID: n83214362, {'status': 'Created', 'id': 1435, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1435', 'warnings': []}
