INFO 2019-08-27 10:42:40,107   {'status': 'OK'},1035,6322,Malamud, Bernard
INFO 2019-08-27 10:42:54,271   {'status': 'OK'},1037,6323,Myers, John
INFO 2019-08-27 10:43:06,788   {'status': 'OK'},1042,6324,Saul, Milton
INFO 2019-08-27 10:43:24,388   {'status': 'OK'},1044,6325,Toklas, Alice B.
INFO 2019-08-27 10:43:38,317   {'status': 'OK'},1048,6326,Acquaviva, Giovanni
INFO 2019-08-27 10:43:50,808   {'status': 'OK'},1054,6327,Darío, Rubén
INFO 2019-08-27 10:44:03,338   {'status': 'OK'},1060,6328,Goretti, Maria Sara
INFO 2019-08-27 10:44:16,344   {'status': 'OK'},1070,6329,Orazi, Vittorio
INFO 2019-08-27 10:44:30,423   {'status': 'OK'},1078,6330,Verga, Giovanni
INFO 2019-08-27 10:44:44,368   {'status': 'OK'},1079,6331,Winston, Harry Lewis
INFO 2019-08-27 10:44:58,330   {'status': 'OK'},1086,6332,Gentili, Giacomo
INFO 2019-08-27 10:45:12,292   {'status': 'OK'},1091,6333,Gigord, Pierre de
INFO 2019-08-27 10:45:26,309   {'status': 'OK'},1092,6334,Ali Sami
INFO 2019-08-27 10:45:40,224   {'status': 'OK'},1095,6335,Delbet, Jules
INFO 2019-08-27 10:45:54,263   {'status': 'OK'},1098,6336,Robertson, James
INFO 2019-08-27 10:46:08,214   {'status': 'OK'},1099,6337,Svoboda, A. (Alex)
INFO 2019-08-27 10:46:22,377   {'status': 'OK'},1101,6338,Trémaux, P. (Pierre)
INFO 2019-08-27 10:46:36,334   {'status': 'OK'},1104,6339,Arenas, Braulio
INFO 2019-08-27 10:46:50,304   {'status': 'OK'},1106,6340,Cáceres, Jorge
